date,IR,Oil,Coal,NG,USEU,S&P_clean,DAX,EUA,Market_size,Power,GDP,Date
10/7/2024,3.65,79.59,121.95,39.55,0.9105,896.68,"19,108.05",60.7,125649.0,75.99,4270369.891,2024-10-07
10/6/2024,3.65,77.52,121.95,40.98,0.9115,896.68,"19,120.93",62.05,1572347.0,75.99,4270369.891,2024-10-06
10/5/2024,3.65,78.08,121.95,40.98,0.9109,896.68,"19,120.93",62.05,1572347.0,75.99,4270369.891,2024-10-05
10/4/2024,3.65,78.08,121.95,40.98,0.9109,896.68,"19,120.93",62.05,1572347.0,75.99,4270369.891,2024-10-04
10/3/2024,3.65,77.9,117.55,39.912,0.9065,901.4,"19,015.41",62.76,1468584.0,75.99,4270369.891,2024-10-03
10/2/2024,3.65,74.67,116.0,38.617,0.9053,910.36,"19,164.75",62.6,2239828.0,75.99,4270369.891,2024-10-02
10/1/2024,3.65,74.46,117.9,39.273,0.9034,923.34,"19,213.14",63.61,3072999.1,75.99,4270369.891,2024-10-01
9/30/2024,3.65,71.7,118.75,39.044,0.8981,935.48,"19,324.93",65.56,1691448.0,75.99,4270369.891,2024-09-30
9/29/2024,3.65,71.54,114.81,38.114,0.8957,938.83,"19,473.63",66.33,1417472.0999999999,75.99,4270369.891,2024-09-29
9/28/2024,3.65,71.54,114.81,38.114,0.8957,938.83,"19,473.63",66.33,1417472.0999999999,75.99,4270369.891,2024-09-28
9/27/2024,3.65,71.54,114.81,38.114,0.8957,938.83,"19,473.63",66.33,1417472.0999999999,75.99,4270369.891,2024-09-27
9/26/2024,3.65,71.09,114.85,37.89,0.8947,930.01,"19,238.36",66.52,2068771.9999999998,75.99,4270369.891,2024-09-26
9/25/2024,3.65,72.9,114.95,37.319,0.8981,918.87,"18,918.50",65.24,2213593.1999999997,75.99,4270369.891,2024-09-25
9/24/2024,3.65,74.47,114.25,35.413,0.8944,925.48,"18,996.63",63.87,1964641.2,75.99,4270369.891,2024-09-24
9/23/2024,3.65,73.9,114.65,36.211,0.8998,922.31,"18,846.79",64.1,1742237.9999999998,75.99,4270369.891,2024-09-23
9/22/2024,3.65,74.49,113.9,34.444,0.8958,916.76,"18,720.01",63.39,1547349.9,75.99,4270369.891,2024-09-22
9/21/2024,3.65,74.49,113.9,34.444,0.8958,916.76,"18,720.01",63.39,1547349.9,75.99,4270369.891,2024-09-21
9/20/2024,3.65,74.49,113.9,34.444,0.8958,916.76,"18,720.01",63.39,1547349.9,75.99,4270369.891,2024-09-20
9/19/2024,3.65,74.88,113.75,33.083,0.8959,922.29,"19,002.38",62.82,3103308.0,75.99,4270369.891,2024-09-19
9/18/2024,3.65,73.65,114.0,35.245,0.8994,929.09,"18,711.49",63.7,1437709.0,75.99,4270369.891,2024-09-18
9/17/2024,4.25,73.7,114.15,35.547,0.8998,931.82,"18,726.08",64.34,2150886.2,75.99,4270369.891,2024-09-17
9/16/2024,4.25,72.75,112.8,34.081,0.8982,923.45,"18,633.11",64.99,1686490.4999999998,75.99,4270369.891,2024-09-16
9/15/2024,4.25,71.61,114.0,35.648,0.9028,919.19,"18,699.40",64.99,1686490.4999999998,75.99,4270369.891,2024-09-15
9/14/2024,4.25,71.61,114.0,35.648,0.9028,919.19,"18,699.40",64.99,1686490.4999999998,75.99,4270369.891,2024-09-14
9/13/2024,4.25,71.61,114.0,35.648,0.9028,919.19,"18,699.40",64.99,1686490.4999999998,75.99,4270369.891,2024-09-13
9/12/2024,4.25,71.97,113.15,35.191,0.9029,905.16,"18,518.39",65.45,1573418.0,75.99,4270369.891,2024-09-12
9/11/2024,4.25,70.61,113.9,36.142,0.9079,908.56,"18,330.27",66.4,2087616.0000000002,75.99,4270369.891,2024-09-11
9/10/2024,4.25,69.19,113.8,35.282,0.9074,883.84,"18,265.92",64.92,2238441.6,75.99,4270369.891,2024-09-10
9/9/2024,4.25,71.84,114.6,37.333,0.9062,882.54,"18,443.56",66.52,1629074.7999999998,75.99,4270369.891,2024-09-09
