date,price,시가,고가,저가,volume,변동 %
10/7/2024,60.7,61.46,61.46,60.35,2.07K,-2.18%
10/4/2024,62.05,62.04,62.57,61.41,25.34K,-1.13%
10/3/2024,62.76,62.56,62.96,62.01,23.40K,0.26%
10/2/2024,62.6,63.9,65.04,62.54,35.78K,-1.59%
10/1/2024,63.61,65.23,65.23,62.75,48.31K,-2.97%
9/30/2024,65.56,66.46,66.97,65.13,25.80K,-1.16%
9/27/2024,66.33,66,66.46,65.28,21.37K,-0.29%
9/26/2024,66.52,65.25,66.75,64.34,31.10K,1.96%
9/25/2024,65.24,64.28,65.59,63.65,33.93K,2.14%
9/24/2024,63.87,64.21,64.93,63.53,30.76K,-0.36%
9/23/2024,64.1,63.7,64.72,63.34,27.18K,1.12%
9/20/2024,63.39,63.5,64.15,62.88,24.41K,0.91%
9/19/2024,62.82,63.93,65.42,62.39,49.40K,-1.38%
9/18/2024,63.7,64.49,64.88,63.21,22.57K,-0.99%
9/17/2024,64.34,63.2,65.16,62.45,33.43K,1.79%
9/16/2024,63.21,64.85,64.97,63.15,,-2.74%
9/13/2024,64.99,65.25,65.94,64.6,25.95K,-0.70%
9/12/2024,65.45,66.08,66.43,65.11,24.04K,-1.43%
9/11/2024,66.4,65.14,66.53,64.71,31.44K,2.28%
9/10/2024,64.92,66.27,67.18,64.76,34.48K,-2.41%
9/9/2024,66.52,66.5,67.45,66.06,24.49K,0.03%
9/6/2024,66.5,66.1,67.74,66.04,33.39K,0.45%
9/5/2024,66.2,66.79,67.68,65.95,33.56K,-1.19%
9/4/2024,67,68.1,68.47,66.75,28.04K,-1.70%
9/3/2024,68.16,70.41,70.44,68.1,34.50K,-3.22%
9/2/2024,70.43,70.03,70.99,69.56,24.52K,0.18%
8/30/2024,70.3,71.09,71.45,69.96,20.56K,-1.07%
8/29/2024,71.06,70.65,71.23,70.08,20.68K,0.41%
8/28/2024,70.77,71.51,72.21,70.35,22.67K,-1.01%
8/27/2024,71.49,70.67,71.93,70.24,20.82K,1.42%
8/26/2024,70.49,71.1,71.75,70.07,17.22K,-0.90%
8/23/2024,71.13,71.51,72.37,70.62,16.66K,-0.61%
8/22/2024,71.57,72.42,72.64,71.17,22.10K,-0.79%
8/21/2024,72.14,73.29,73.83,71.68,20.05K,-1.27%
8/20/2024,73.07,72.94,74.75,72.65,30.00K,-0.10%
8/19/2024,73.14,72.5,73.8,72.01,20.35K,0.85%
8/16/2024,72.52,72.19,72.98,71.5,14.66K,0.57%
8/15/2024,72.11,71.98,72.23,70.48,22.49K,0.33%
8/14/2024,71.87,71.35,72.44,71.26,15.75K,0.81%
8/13/2024,71.29,72.14,73.06,71.14,25.78K,-1.87%
8/12/2024,72.65,70.08,74.13,69.46,39.26K,3.58%
8/9/2024,70.14,71,71.86,69.61,20.31K,-1.29%
8/8/2024,71.06,71.19,71.73,69.72,25.35K,0.69%
8/7/2024,70.57,69.96,71.43,69.1,23.50K,0.93%
8/6/2024,69.92,69.28,70.39,69.07,18.05K,1.54%
8/5/2024,68.86,69.75,69.75,67.86,23.05K,-2.24%
8/2/2024,70.44,71.18,71.31,69.45,23.24K,-1.03%
8/1/2024,71.17,69.55,71.5,68.83,29.18K,2.79%
7/31/2024,69.24,68.95,69.44,68.04,20.38K,0.96%
7/30/2024,68.58,68.67,69.29,67.47,20.66K,-0.29%
7/29/2024,68.78,67.7,68.9,67.2,16.08K,1.58%
7/26/2024,67.71,66.9,68.15,66.79,12.68K,0.94%
7/25/2024,67.08,68.91,68.91,66.65,21.15K,-2.64%
7/24/2024,68.9,65.79,69.02,65.55,26.23K,4.73%
7/23/2024,65.79,64.82,66.22,64.26,19.17K,1.54%
7/22/2024,64.79,66.28,66.73,64.25,25.44K,-1.83%
7/19/2024,66,66.35,67.49,65.73,15.46K,-0.17%
7/18/2024,66.11,66.43,66.98,66.01,17.93K,-0.47%
7/17/2024,66.42,68.01,68.13,66.41,19.67K,-2.24%
7/16/2024,67.94,67.85,68.27,67.16,18.32K,0.53%
7/15/2024,67.58,69.58,69.58,67.1,22.05K,-2.55%
7/12/2024,69.35,68.55,69.52,67.69,18.19K,1.21%
7/11/2024,68.52,68.15,68.83,67.6,16.48K,0.82%
7/10/2024,67.96,68.66,69.4,67.86,15.81K,-0.82%
7/9/2024,68.52,69.15,69.19,68.18,16.72K,-0.75%
7/8/2024,69.04,70.59,71.85,68.8,25.02K,-1.86%
7/5/2024,70.35,70.12,71.15,69.94,12.63K,0.24%
7/4/2024,70.18,70.76,71.16,69.83,19.11K,-1.03%
7/3/2024,70.91,70.67,71.95,70,25.07K,-0.03%
7/2/2024,70.93,68.3,71.03,67.52,27.02K,3.81%
7/1/2024,68.33,67.41,69.68,67.13,19.71K,1.44%
6/28/2024,67.36,66.71,68.4,65.79,22.06K,1.31%
6/27/2024,66.49,67.03,67.78,66.42,19.50K,-1.10%
6/26/2024,67.23,68.35,69.09,66.8,22.83K,-0.84%
6/25/2024,67.8,67.45,68.07,66.85,20.56K,0.36%
6/24/2024,67.56,68.02,68.27,67.01,25.78K,-0.72%
6/21/2024,68.05,69.51,69.51,67.94,18.86K,-1.65%
6/20/2024,69.19,70.6,71.59,69.07,21.09K,-2.19%
6/19/2024,70.74,68.74,70.81,68.5,20.84K,3.45%
6/18/2024,68.38,68.26,69.25,67.72,25.05K,0.32%
6/17/2024,68.16,68.7,69.21,67.63,22.76K,-0.54%
6/14/2024,68.53,70.75,71.09,68.18,32.67K,-3.30%
6/13/2024,70.87,70.3,71.99,70.3,18.92K,0.81%
6/12/2024,70.3,70.45,71.75,69.97,20.42K,-0.16%
6/11/2024,70.41,70.8,72.17,69.87,22.85K,-0.71%
6/10/2024,70.91,71.14,71.2,69.29,27.32K,-0.71%
6/7/2024,71.42,71.78,71.88,71.02,14.70K,-0.15%
6/6/2024,71.53,71.82,72.98,71.25,19.25K,-0.65%
6/5/2024,72,72.72,73.26,70.96,25.06K,-0.80%
6/4/2024,72.58,74.52,74.71,72.27,29.74K,-2.75%
6/3/2024,74.63,74.44,77.8,74.25,29.51K,0.76%
5/31/2024,74.07,75.48,76.42,73.85,19.01K,-1.50%
5/30/2024,75.2,73.66,75.84,73.37,19.23K,1.69%
5/29/2024,73.95,74.5,75.6,72.95,21.29K,-0.87%
5/28/2024,74.6,75.99,76.24,74.15,20.35K,-2.50%
5/27/2024,76.51,75.7,76.99,75.58,11.68K,0.96%
5/24/2024,75.78,76.1,76.7,73.9,20.91K,-0.42%
5/23/2024,76.1,76.5,78.1,75.52,28.44K,-0.74%
5/22/2024,76.67,75.83,77.5,75.5,26.14K,0.62%
5/21/2024,76.2,74.18,76.64,73.05,27.58K,2.64%
5/20/2024,74.24,71,74.9,71,28.80K,5.28%
5/17/2024,70.52,70.5,71.52,69.6,19.40K,-0.38%
5/16/2024,70.79,69.09,71.27,68.88,19.43K,2.31%
5/15/2024,69.19,70.2,71.83,69.09,22.11K,-1.30%
5/14/2024,70.1,70.02,71.32,69.02,15.41K,0.04%
5/13/2024,70.07,71.33,71.49,68.75,24.98K,-2.12%
5/10/2024,71.59,73.5,75.5,71.28,22.20K,-2.76%
5/9/2024,73.62,71.4,74.08,71.13,14.64K,2.36%
5/8/2024,71.92,71.03,72.7,69.61,21.90K,1.51%
5/7/2024,70.85,73.25,74.3,70.57,31.16K,-3.83%
5/6/2024,73.67,71.74,74.49,71.52,18.25K,2.55%
5/3/2024,71.84,72.69,74.55,71.45,25.96K,-1.17%
5/2/2024,72.69,67.88,73.18,67.25,38.25K,7.04%
5/1/2024,67.91,69.19,69.26,67.35,12.26K,-1.86%
4/30/2024,69.2,65.95,69.6,65.38,26.24K,5.17%
4/29/2024,65.8,67,67.35,65.01,18.42K,-2.53%
4/26/2024,67.51,68.21,69.2,66.57,18.84K,-1.32%
4/25/2024,68.41,67,69.92,66.54,27.09K,2.33%
4/24/2024,66.85,66.25,67.45,64.8,22.73K,0.71%
4/23/2024,66.38,66.39,67.21,65.34,22.88K,-0.03%
4/22/2024,66.4,68,68.19,66.02,25.67K,-3.09%
4/19/2024,68.52,72.57,73.3,68.13,28.40K,-4.23%
4/18/2024,71.55,69.9,72.22,68.15,31.33K,1.73%
4/17/2024,70.33,74.13,74.48,69.24,37.88K,-5.28%
4/16/2024,74.25,70.26,74.9,69.87,36.63K,5.83%
4/15/2024,70.16,71.55,71.64,69.12,29.52K,-2.07%
4/12/2024,71.64,68.6,71.81,68.07,46.29K,4.08%
4/11/2024,68.83,62.98,68.92,62.81,47.86K,9.51%
4/10/2024,62.85,63.82,65.07,62.3,25.55K,-1.74%
4/9/2024,63.96,63.39,64.64,62.53,27.84K,0.90%
4/8/2024,63.39,60.72,63.77,59.69,32.01K,3.90%
4/5/2024,61.01,58.87,61.15,58.26,25.37K,4.49%
4/4/2024,58.39,57.5,59.24,57.1,22.26K,1.46%
4/3/2024,57.55,59.29,59.43,56.91,23.14K,-2.29%
4/2/2024,58.9,61.22,61.5,58.56,27.64K,-4.89%
3/28/2024,61.93,62.5,62.89,61.32,,-1.09%
3/27/2024,62.61,62.5,63.31,61.08,22.31K,-0.62%
3/26/2024,63,64.45,65.74,62.16,33.89K,-2.84%
3/25/2024,64.84,61.69,65.49,61.68,33.71K,5.43%
3/22/2024,61.5,59.1,62.06,58.8,24.38K,3.59%
3/21/2024,59.37,60.04,60.26,58.8,22.93K,-1.07%
3/20/2024,60.01,61.3,61.46,59.99,21.68K,-2.12%
3/19/2024,61.31,61.3,62.87,59.65,26.86K,-0.18%
3/18/2024,61.42,59.5,62.32,59.5,33.59K,3.44%
3/15/2024,59.38,58.9,60.25,58.14,27.06K,0.99%
3/14/2024,58.8,55.85,59.18,55.08,30.35K,5.24%
3/13/2024,55.87,56.86,57.9,55.65,23.40K,-1.98%
3/12/2024,57,56.26,57.08,55.24,26.90K,1.55%
3/11/2024,56.13,58.22,58.24,55.8,28.03K,-4.05%
3/8/2024,58.5,59,60.2,57.8,22.80K,-1.58%
3/7/2024,59.44,58.79,61.09,57.4,36.11K,1.11%
3/6/2024,58.79,60.25,62.8,58.09,44.52K,-2.02%
3/5/2024,60,57.28,61.23,56.73,48.66K,4.75%
